Company Name,Company url,Job page link,Job Title,Image Path,Location,Salary,Benefits
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/vp-manufacturing-operations-for-americas-at-dematic-3714401441?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=AiBd71e5EQbUjdJjRx%2B21g%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"VP, Manufacturing Operations for Americas",https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Fort Worth, TX",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://es.linkedin.com/jobs/view/vice-president-of-customer-services-emea-at-dematic-3743121721?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=bpNQYtFT%2FoGhuN%2F4WF6FRA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Vice President of Customer Services EMEA,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Coslada, Community of Madrid, Spain",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://uk.linkedin.com/jobs/view/vice-president-of-customer-services-emea-at-dematic-3743118877?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=9VublPsTbTPprVubP4jqHg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Vice President of Customer Services EMEA,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Adderbury, England, United Kingdom",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/jobs/view/procurement-project-lead-at-dematic-3726513313?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=MHJRKTwi2bQjk8QpN2Qr%2Fg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Procurement Project Lead,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Bussy-Saint-Georges, Île-de-France, France",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://de.linkedin.com/jobs/view/vice-president-of-customer-services-emea-at-dematic-3743126137?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=A%2B64SQwIkSD5rRNlaQYB0w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Vice President of Customer Services EMEA,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Heusenstamm, Hesse, Germany",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/regional-category-manager-at-dematic-3735361732?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=v2V74LnLiUWW9VCVKDncFQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Regional Category Manager,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Grand Rapids, MI",_,Be an early applicant
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://fr.linkedin.com/jobs/view/vice-president-of-customer-services-emea-at-dematic-3736858856?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=QbmU1Zr9cTKzA%2BoRfY0ZuQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Vice President of Customer Services EMEA,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Bussy-Saint-Georges, Île-de-France, France",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/data-analyst-at-dematic-3735310101?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=O7tzvX%2F7kC%2BsumnNo3VEIQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Data Analyst,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Grand Rapids, MI",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/sr-director-global-communications-brand-leader-at-dematic-3671957419?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=dvy2WZIu5pXK%2BR3mZVnOyA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Sr. Director, Global Communications & Brand Leader",https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Atlanta, GA",_,Actively Hiring
Dematic,https://www.linkedin.com/company/dematic?trk=public_jobs_jserp-result_job-search-card-subtitle,https://uk.linkedin.com/jobs/view/vice-president-of-customer-services-emea-at-dematic-3740821217?refId=Axw6kc8viEA8Op2UY0liSA%3D%3D&trackingId=bl1XSSLPTGPFZQovOfCLTw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Vice President of Customer Services EMEA,https://media.licdn.com/dms/image/D560BAQEDgdD2upqIcg/company-logo_100_100/0/1688395929803?e=2147483647&v=beta&t=x06gg4SoaHzsk62C581sb_uP5YUAXOgpwlpAx76pGPM,"Banbury, England, United Kingdom",_,Actively Hiring
